user_id,trips_booked,total_cancellations,has_children,avg_hotel_cost_total,age_end_july_2023,total_hotel_transactions,total_flights_transactions,avg_checked_bags,Perks
23557,2,0,0,1901.0,64.0,2,0,0.0,Senior Travellers - 15% off next booking
94883,2,0,0,115.0,51.0,2,4,0.5,Senior Travellers - 15% off next booking
101486,2,0,1,1226.0,50.0,2,2,0.0,Family Small Spenders - Kids eat for free next hotel booking
101961,5,0,0,559.6,42.0,5,10,0.4,Big Spenders - 1 Night free hotel room next flight booking
106907,0,1,1,0.0,44.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
118043,5,0,1,1659.5,51.0,4,6,1.0,Family Small Spenders - Kids eat for free next hotel booking
120851,1,0,1,2002.0,50.0,1,2,0.0,Family Small Spenders - Kids eat for free next hotel booking
125845,3,0,0,288.0,39.0,3,6,0.67,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
133058,1,0,0,0.0,18.0,0,2,0.0,Light Packer - Free drink and snack on next flight booked
149058,5,0,1,1254.8,50.0,5,10,0.4,Family Small Spenders - Kids eat for free next hotel booking
152583,1,0,0,639.0,37.0,1,2,2.0,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
153982,3,0,1,434.0,44.0,3,6,0.33,Family Small Spenders - Kids eat for free next hotel booking
160754,1,0,1,642.0,45.0,1,2,1.0,Family Small Spenders - Kids eat for free next hotel booking
164522,1,0,0,3262.0,47.0,1,2,1.0,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
167852,0,0,0,0.0,17.0,0,0,0.0,First Timer - 10% off next booking
171470,0,2,0,0.0,23.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
174997,2,1,0,292.0,31.0,2,4,0.0,Light Packer - Free drink and snack on next flight booked
175032,3,0,0,1202.0,28.0,3,4,0.5,Light Packer - Free drink and snack on next flight booked
181157,3,0,0,1707.67,52.0,3,6,1.0,Senior Travellers - 15% off next booking
182191,0,1,1,0.0,18.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
187212,3,0,1,518.67,54.0,3,6,0.67,Family Small Spenders - Kids eat for free next hotel booking
189676,2,0,1,2731.5,35.0,2,2,2.0,Family Small Spenders - Kids eat for free next hotel booking
190866,5,0,0,441.0,36.0,5,10,0.4,Big Spenders - 1 Night free hotel room next flight booking
195192,1,0,0,320.0,27.0,1,2,0.0,Light Packer - Free drink and snack on next flight booked
204943,5,1,0,896.6,40.0,5,10,1.4,Big Spenders - 1 Night free hotel room next flight booking
204997,2,2,0,355.0,37.0,1,4,0.5,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
205044,3,0,1,2120.67,39.0,3,6,0.33,Family Small Spenders - Kids eat for free next hotel booking
206011,4,0,1,423.67,38.0,3,8,0.25,Family Small Spenders - Kids eat for free next hotel booking
216796,0,1,0,0.0,22.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
217114,0,0,1,0.0,19.0,0,0,0.0,First Timer - 10% off next booking
217136,2,0,1,519.5,38.0,2,2,0.0,Family Small Spenders - Kids eat for free next hotel booking
220725,3,1,0,621.0,40.0,2,6,0.33,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
224996,2,0,1,231.0,42.0,1,4,0.0,Family Small Spenders - Kids eat for free next hotel booking
226367,3,0,0,976.0,42.0,3,6,0.67,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
228195,0,0,1,0.0,26.0,0,0,0.0,First Timer - 10% off next booking
228872,2,0,0,680.0,34.0,2,2,1.0,Light Packer - Free drink and snack on next flight booked
229009,2,1,0,386.5,16.0,2,4,0.5,Light Packer - Free drink and snack on next flight booked
229108,0,1,0,0.0,25.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
229330,4,0,0,1110.5,46.0,4,8,0.25,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
232647,2,0,0,2343.0,17.0,1,2,1.0,Light Packer - Free drink and snack on next flight booked
249521,2,0,1,283.0,59.0,2,2,1.0,Family Small Spenders - Kids eat for free next hotel booking
252835,5,0,1,425.5,37.0,4,10,0.6,Family Small Spenders - Kids eat for free next hotel booking
258451,0,1,0,0.0,22.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
264470,2,0,1,1109.0,44.0,2,4,0.5,Family Small Spenders - Kids eat for free next hotel booking
276512,1,0,1,200.0,40.0,1,2,1.0,Family Small Spenders - Kids eat for free next hotel booking
281952,2,0,0,174.0,36.0,2,4,1.5,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
283325,2,0,0,1705.5,50.0,2,2,0.0,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
290123,7,0,0,982.33,40.0,6,13,0.86,Big Spenders - 1 Night free hotel room next flight booking
297546,5,0,0,806.8,50.0,5,8,0.75,Hotel Stayer - Free meal with next hotel booking
298253,1,0,1,0.0,45.0,0,2,2.0,Family Small Spenders - Kids eat for free next hotel booking
299476,1,0,0,142.0,38.0,1,2,0.0,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
306165,0,0,0,0.0,20.0,0,0,0.0,First Timer - 10% off next booking
306819,1,1,1,740.0,59.0,1,2,1.0,Family Small Spenders - Kids eat for free next hotel booking
312488,1,0,0,299.0,30.0,1,2,1.0,Light Packer - Free drink and snack on next flight booked
313724,4,1,0,930.75,51.0,4,6,0.67,Senior Travellers - 15% off next booking
316527,4,0,1,1600.75,41.0,4,8,0.25,Family Small Spenders - Kids eat for free next hotel booking
317688,4,0,1,437.25,40.0,4,8,0.5,Family Small Spenders - Kids eat for free next hotel booking
322867,1,0,0,1512.0,45.0,1,2,1.0,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
324191,2,0,0,1266.0,39.0,2,4,0.5,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
328590,2,1,0,1782.5,55.0,2,4,0.5,Senior Travellers - 15% off next booking
330764,2,1,0,547.0,38.0,2,0,0.0,Mid Life Travellers - Bottle of Wine and cheese platter with next hotel booking
330893,3,0,1,328.67,42.0,3,6,0.67,Family Small Spenders - Kids eat for free next hotel booking
331039,0,1,1,0.0,43.0,0,0,0.0,Non-Committer - Free Cancellation on next booking
